temperature,pressure,flow_rate,voltage,current,power,vibration_x,vibration_y,humidity,rpm,torque,efficiency,sensor_id,location,plant_version
65.7,1.1934,40.96,223.83,9.623,1985.9,0.0407,-0.3671,46.7,1502.0,131.16,0.893,SEN-0013,Plant-C,2.1
74.71,1.1961,48.87,226.4,10.24,2242.7,0.448,-0.1863,50.0,1425.0,126.25,0.7843,SEN-0014,Plant-A,2.1
81.95,1.3291,38.91,216.65,8.883,2367.3,-0.7019,-0.4832,39.9,1441.0,124.28,0.848,SEN-0015,Plant-A,2.1
61.56,1.3867,51.86,222.09,11.31,2009.1,-0.7871,0.3813,40.1,1533.0,117.46,0.9442,SEN-0016,Plant-C,2.1
70.42,1.1863,46.37,215.56,11.101,2317.1,0.3879,-0.7587,32.1,1545.0,114.95,0.9158,SEN-0017,Plant-A,2.1
55.99,1.1234,46.42,216.54,10.235,2143.1,-0.695,-0.1566,66.2,1460.0,117.52,0.877,SEN-0018,Plant-B,2.1
62.1,1.1935,48.9,216.84,8.245,2434.9,-0.1508,0.9755,31.1,1484.0,120.71,0.7193,SEN-0019,Plant-C,2.1
56.58,1.1392,51.36,219.27,8.954,2243.6,-0.0491,0.0258,35.5,1510.0,125.32,0.8435,SEN-0020,Plant-C,2.1
72.65,1.1258,42.84,220.75,10.977,2181.2,-0.244,0.234,59.0,1410.0,124.3,0.8693,SEN-0021,Plant-B,2.1
62.33,1.1941,41.26,222.32,11.713,2310.5,-0.2267,-0.0733,48.3,1480.0,117.09,0.8346,SEN-0022,Plant-B,2.1
77.71,1.0957,44.67,212.75,10.297,2252.6,0.6963,-0.5872,50.5,1578.0,120.75,0.8467,SEN-0023,Plant-A,2.1
76.57,1.2606,39.79,230.13,11.247,2140.8,-1.2648,-0.0163,41.8,1606.0,123.98,1.0,SEN-0024,Plant-A,2.1
73.13,1.1896,45.17,225.92,9.392,2271.0,0.4419,0.2032,36.4,1492.0,103.86,0.8393,SEN-0025,Plant-A,2.1
49.83,1.225,57.95,223.72,9.811,2148.9,1.1476,-0.5113,62.0,1589.0,112.43,0.8015,SEN-0026,Plant-B,2.1
69.61,1.1817,44.72,218.17,10.001,2021.2,0.0118,0.1708,35.0,1471.0,112.13,0.8621,SEN-0027,Plant-A,2.1
74.51,1.1273,53.26,219.54,10.423,2403.2,-0.0095,0.6225,41.8,1457.0,118.08,0.8342,SEN-0028,Plant-B,2.1
76.13,1.1052,43.14,222.81,8.471,2165.0,0.3632,0.5348,60.1,1385.0,117.37,0.8345,SEN-0029,Plant-C,2.1
59.7,1.1763,51.5,222.11,10.941,2139.1,0.9144,-0.7914,41.9,1545.0,117.55,0.8456,SEN-0030,Plant-A,2.1
70.22,1.1451,48.4,211.39,11.323,2233.9,-0.594,-0.4876,68.1,1478.0,111.4,0.8887,SEN-0031,Plant-C,2.1
65.21,1.2234,49.7,223.8,8.851,2044.0,0.0438,-0.8068,37.0,1614.0,126.86,0.8619,SEN-0032,Plant-C,2.1
66.91,1.1996,52.84,234.94,8.645,2064.6,-0.0931,0.5356,51.1,1514.0,122.91,0.7899,SEN-0033,Plant-B,2.1
85.61,1.0638,58.78,210.53,10.351,2150.0,0.2797,0.3052,51.5,1506.0,103.71,0.8434,SEN-0034,Plant-B,2.1
66.92,1.2067,50.97,225.1,9.346,2148.0,0.0796,0.3516,50.0,1407.0,120.28,0.8737,SEN-0035,Plant-C,2.1
74.67,1.0657,50.62,221.89,7.629,2207.2,0.3298,-0.4392,61.0,1572.0,108.88,0.8266,SEN-0036,Plant-A,2.1
83.84,1.1384,45.13,219.43,10.809,2312.3,-0.2108,-0.5833,31.8,1479.0,137.17,0.9074,SEN-0037,Plant-B,2.1
69.16,1.1706,52.92,227.04,10.156,2152.6,0.0245,0.0385,51.8,1489.0,115.59,0.8889,SEN-0038,Plant-A,2.1
73.88,0.9925,48.77,213.93,9.523,2249.3,-0.3352,0.0505,61.6,1387.0,116.21,0.8005,SEN-0039,Plant-B,2.1
76.1,1.2092,54.16,220.84,12.113,2260.2,-0.3321,-0.4271,32.0,1543.0,120.99,0.866,SEN-0040,Plant-A,2.1
75.64,1.2151,49.78,227.51,10.139,2091.6,-0.0708,0.0711,51.9,1547.0,118.16,0.9492,SEN-0041,Plant-B,2.1
62.75,1.1842,58.7,218.99,9.247,2222.8,-0.071,0.3223,47.6,1467.0,119.57,0.928,SEN-0042,Plant-A,2.1
75.76,1.1576,40.09,217.85,10.101,2105.7,-0.5862,0.114,46.2,1502.0,135.63,0.8472,SEN-0043,Plant-B,2.1
88.59,1.1626,48.52,220.59,8.96,2306.4,0.785,-0.5197,51.5,1517.0,122.42,0.8949,SEN-0044,Plant-C,2.1
59.53,1.1023,54.41,217.72,9.238,2245.5,-0.0675,-1.0563,55.0,1545.0,128.51,0.8163,SEN-0045,Plant-B,2.1
83.59,1.173,48.25,227.95,10.386,2201.7,-0.6919,-0.1294,58.1,1502.0,131.44,0.7776,SEN-0046,Plant-A,2.1
76.19,1.1447,46.04,215.34,9.446,2066.0,0.5508,0.0822,65.9,1583.0,110.42,0.8777,SEN-0047,Plant-C,2.1
68.59,1.2092,48.67,224.48,9.549,2211.6,-0.3741,-0.13,56.3,1485.0,137.06,0.8623,SEN-0048,Plant-A,2.1
95.0,1.0796,43.1,213.57,11.669,2123.3,0.2541,-0.2142,70.0,1467.0,127.05,0.8757,SEN-0049,Plant-B,2.1
82.62,1.2236,50.59,223.44,10.86,2270.6,-0.0085,-0.3457,56.6,1474.0,129.74,0.8488,SEN-0050,Plant-A,2.1
63.01,1.2143,62.2,219.46,10.803,2188.1,0.1253,0.3578,40.8,1370.0,111.54,0.8663,SEN-0051,Plant-A,2.1
75.75,1.1858,55.73,206.72,10.529,2118.8,0.0855,-0.0262,35.9,1457.0,128.35,0.8244,SEN-0052,Plant-C,2.1
80.77,1.1561,44.45,219.97,10.484,2292.6,-0.2876,0.0616,32.8,1548.0,124.31,0.8737,SEN-0053,Plant-B,2.1
73.11,1.2552,45.63,214.52,11.457,2272.2,0.0205,-0.4858,40.7,1510.0,114.81,0.8917,SEN-0054,Plant-C,2.1
81.83,,47.98,217.72,9.98,2140.7,1.0165,-0.3102,34.8,1456.0,143.01,0.8471,SEN-0055,Plant-C,2.1
74.33,1.246,55.02,227.91,11.856,2316.2,-1.1188,0.0819,57.3,1515.0,125.85,0.8907,SEN-0056,Plant-B,2.1
81.67,1.2243,45.89,214.26,9.049,2170.2,0.033,-0.5027,57.6,1396.0,117.79,0.7615,SEN-0057,Plant-B,2.1
89.39,1.2283,46.55,214.55,9.745,2169.1,0.2175,-0.6296,54.5,1483.0,122.12,0.8107,SEN-0058,Plant-C,2.1
68.24,1.2383,54.42,227.4,8.621,2212.4,-0.5261,-0.1646,45.3,1523.0,129.29,0.9222,SEN-0059,Plant-A,2.1
77.03,1.1346,54.32,220.6,9.656,2124.7,-0.6852,0.6005,48.6,1532.0,131.49,0.9381,SEN-0060,Plant-B,2.1
70.37,1.1741,48.13,227.92,10.518,2155.8,1.0795,0.0955,40.4,1459.0,126.0,0.8625,SEN-0061,Plant-B,2.1
76.27,1.2637,44.41,221.66,11.451,2184.0,-0.1858,0.7298,66.7,1543.0,132.36,0.8448,SEN-0062,Plant-B,2.1
63.13,1.2431,42.25,215.46,9.337,2353.0,1.0395,-0.0658,30.6,1591.0,134.89,0.7866,SEN-0063,Plant-B,2.1
69.21,1.2207,46.51,219.66,10.005,2350.0,0.2679,-0.155,42.8,1476.0,107.84,0.8682,SEN-0064,Plant-C,2.1
73.04,1.0486,38.85,226.32,9.641,2174.1,0.0381,-0.6961,52.9,1534.0,115.34,0.8889,SEN-0065,Plant-A,2.1
83.99,1.2538,53.75,224.84,9.261,2361.0,0.238,-0.2881,37.2,1419.0,110.8,0.7759,SEN-0066,Plant-C,2.1
86.45,1.3169,46.85,220.0,8.811,2195.7,0.3175,0.7176,64.2,1399.0,121.17,0.8779,SEN-0067,Plant-C,2.1
61.76,1.301,52.41,220.25,10.061,2238.1,0.5898,0.1638,49.2,1528.0,134.63,0.8745,SEN-0068,Plant-C,2.1
67.05,1.2234,59.34,219.42,8.268,2288.4,0.2179,0.3666,44.8,1499.0,126.73,0.872,SEN-0069,Plant-C,2.1
81.47,1.0442,55.86,217.03,10.111,2229.2,0.0723,0.3525,32.5,1507.0,109.74,0.7936,SEN-0070,Plant-A,2.1
55.08,1.2943,44.24,229.93,10.021,2441.5,0.0881,-0.0048,41.2,1468.0,117.26,0.8771,SEN-0071,Plant-A,2.1
70.37,1.1853,54.35,220.04,9.342,2224.3,0.676,-0.1024,53.6,1483.0,130.48,0.7751,SEN-0072,Plant-A,2.1
74.03,0.9467,55.79,214.19,8.989,2080.2,0.4085,0.0596,41.2,1538.0,114.89,0.9244,SEN-0073,Plant-B,2.1
87.57,1.2377,46.27,217.55,8.616,2330.5,-0.501,0.3357,31.8,1583.0,119.23,0.8568,SEN-0074,Plant-A,2.1
81.89,1.0508,45.23,223.73,11.871,2158.8,-0.3178,0.2289,53.2,1487.0,123.24,0.7918,SEN-0075,Plant-A,2.1
71.73,1.0704,49.45,223.3,8.658,2169.6,0.1654,0.246,42.2,1415.0,101.99,0.9173,SEN-0076,Plant-A,2.1
71.31,1.1365,41.99,219.3,11.558,1900.8,-0.3115,0.0771,63.9,1561.0,128.0,0.9077,SEN-0077,Plant-A,2.1
72.5,1.3273,57.35,216.56,10.6,2300.1,-0.1882,-0.385,57.7,1528.0,123.62,0.8175,SEN-0078,Plant-B,2.1
90.24,1.1629,37.97,220.12,9.636,2281.8,-0.478,-0.1308,58.9,1532.0,125.89,0.9602,SEN-0079,Plant-A,2.1
70.72,1.2271,44.47,211.4,8.843,2279.9,-0.1308,-0.4707,65.6,1507.0,110.41,0.7998,SEN-0080,Plant-B,2.1
71.96,1.3748,48.65,213.31,11.042,2297.8,0.2118,0.5023,62.4,1614.0,112.52,0.8657,SEN-0081,Plant-A,2.1
78.53,1.3594,48.86,224.11,11.73,2369.1,0.4976,-1.051,43.2,1501.0,114.23,0.9091,SEN-0082,Plant-C,2.1
73.79,1.1897,50.83,217.54,9.066,2195.4,0.0046,-0.1089,52.8,1523.0,122.71,0.7365,SEN-0083,Plant-C,2.1
73.03,1.1758,51.36,221.93,9.701,2293.8,1.0374,1.1936,40.4,1405.0,120.9,0.9001,SEN-0084,Plant-B,2.1
63.86,1.0739,48.93,226.26,11.052,2125.6,-0.0382,-0.1708,38.1,1468.0,121.48,0.8468,SEN-0085,Plant-B,2.1
74.88,1.1306,55.68,223.34,10.336,2164.6,1.5967,-0.5674,38.2,1463.0,138.12,0.8492,SEN-0086,Plant-C,2.1
70.56,1.2425,39.3,220.11,12.0,2305.7,0.5008,-0.009,34.4,1496.0,133.25,0.7962,SEN-0087,Plant-C,2.1
86.66,1.2396,50.0,230.94,9.43,2239.1,0.2484,0.6447,39.6,1515.0,113.01,0.8666,SEN-0088,Plant-A,2.1
81.53,1.211,46.43,223.43,10.542,2066.7,-0.2495,-0.0802,39.0,1460.0,113.66,0.7945,SEN-0089,Plant-C,2.1
74.76,1.2995,50.66,218.18,8.749,2236.1,-1.4122,0.3067,56.9,1584.0,137.36,0.8016,SEN-0090,Plant-C,2.1
81.68,1.1228,51.1,223.76,12.096,2181.7,-0.0776,0.05,40.1,1444.0,117.03,0.8276,SEN-0091,Plant-B,2.1
71.6,1.1944,45.44,222.1,9.27,2118.1,0.0891,-0.1864,31.9,1475.0,133.99,0.7886,SEN-0092,Plant-B,2.1
85.52,1.2731,46.8,215.6,7.792,2243.4,0.9612,1.5751,46.9,1509.0,136.19,0.9286,SEN-0093,Plant-B,2.1
74.95,1.2584,53.96,220.38,9.874,2159.5,-0.6899,0.0356,38.0,1435.0,114.78,0.7836,SEN-0094,Plant-A,2.1
80.83,1.3071,51.75,219.15,9.861,2043.0,0.9529,-0.2686,57.6,1526.0,117.51,0.8123,SEN-0095,Plant-A,2.1
62.09,1.2397,46.6,209.89,11.916,2088.9,-0.1256,-0.245,38.9,1529.0,121.03,0.8342,SEN-0096,Plant-A,2.1
78.47,1.1691,60.2,219.11,9.661,2376.9,0.362,0.1903,52.3,1483.0,111.56,0.8502,SEN-0097,Plant-B,2.1
58.12,1.2362,61.55,218.54,9.987,2048.5,-1.2699,0.2046,37.0,1593.0,110.42,0.8896,SEN-0098,Plant-B,2.1
54.65,1.0997,42.69,217.75,10.593,2222.3,0.0695,0.386,49.3,1502.0,116.19,0.8909,SEN-0099,Plant-C,2.1
71.96,1.0361,51.51,211.54,11.586,2261.0,-0.1719,0.0706,64.7,1512.0,128.73,0.8349,SEN-0100,Plant-C,2.1
66.0,1.2581,62.54,218.18,9.937,2263.9,0.3412,-0.7158,42.1,1449.0,115.72,0.8308,SEN-0101,Plant-C,2.1
76.64,1.1945,53.92,219.8,11.039,2077.5,0.0456,0.266,51.1,1414.0,118.14,0.8518,SEN-0102,Plant-A,2.1
97.45,1.2308,51.11,220.52,10.518,2167.8,-0.5711,-0.1545,47.5,1466.0,115.55,0.8911,SEN-0103,Plant-A,2.1
66.68,1.0302,48.96,214.16,9.704,2214.1,0.4735,-0.1431,32.8,1481.0,106.55,0.8849,SEN-0104,Plant-B,2.1
68.76,1.1635,47.29,223.25,10.078,2280.0,0.3473,-0.7415,30.8,1475.0,135.04,0.8242,SEN-0105,Plant-A,2.1
77.05,1.14,48.94,213.75,10.029,2135.5,0.2984,-0.2868,63.7,1536.0,96.78,0.747,SEN-0106,Plant-B,2.1
79.93,1.1136,47.25,218.85,9.084,2083.7,0.5045,-0.3634,43.6,1378.0,113.66,0.9572,SEN-0107,Plant-C,2.1
73.24,0.9745,53.72,226.71,11.214,2300.3,0.5505,-0.0182,57.4,1441.0,125.79,0.8976,SEN-0108,Plant-C,2.1
72.94,1.1665,48.01,216.44,8.614,2310.5,-0.0109,-0.7267,46.5,1406.0,106.24,0.8632,SEN-0109,Plant-B,2.1
82.02,1.2897,47.79,217.37,11.171,2237.0,-0.6788,0.0253,63.5,1565.0,126.25,0.867,SEN-0110,Plant-C,2.1
80.2,1.2381,43.99,225.52,10.954,2139.1,-0.6925,0.0622,37.8,1469.0,132.72,0.8239,SEN-0111,Plant-A,2.1
64.66,1.1399,49.75,218.03,9.907,2240.7,0.6749,-0.5599,49.4,1472.0,111.6,0.7999,SEN-0112,Plant-B,2.1
74.21,1.1985,45.53,218.47,9.235,2210.9,0.3552,-0.3123,51.9,1442.0,122.29,0.8334,SEN-0113,Plant-C,2.1
75.35,1.2757,49.1,221.14,9.774,2283.8,0.051,-0.4288,61.7,1542.0,109.09,0.8389,SEN-0114,Plant-C,2.1
64.46,0.924,55.21,225.39,10.473,2075.1,-0.2173,0.4538,31.2,1477.0,125.27,0.8187,SEN-0115,Plant-A,2.1
77.6,1.1875,51.83,208.68,10.743,2211.6,0.0158,-1.2641,44.5,1509.0,121.08,0.7771,SEN-0116,Plant-A,2.1
66.42,1.2543,52.52,215.74,10.287,2184.1,0.0124,-0.1717,49.0,1396.0,122.35,0.8344,SEN-0117,Plant-B,2.1
84.72,1.2682,51.78,214.83,10.992,2089.0,-0.1684,-0.8303,53.6,1556.0,133.86,0.8788,SEN-0118,Plant-C,2.1
76.93,1.3701,50.3,214.43,9.443,2221.6,-0.3495,-0.2158,35.7,1517.0,124.91,0.8253,SEN-0119,Plant-B,2.1
75.89,1.3135,49.36,215.61,10.235,2203.5,1.0822,0.4234,51.7,1525.0,133.65,0.8511,SEN-0120,Plant-A,2.1
69.09,1.2313,48.46,215.69,8.432,2159.0,0.1143,-0.3153,57.7,1559.0,126.54,0.7465,SEN-0121,Plant-C,2.1
73.81,1.2302,53.8,221.55,10.764,2239.6,-0.3029,0.0692,59.3,1488.0,108.2,0.8396,SEN-0122,Plant-B,2.1
55.02,1.2787,,215.44,10.153,2058.1,-0.651,-0.4224,39.0,1489.0,122.81,0.8439,SEN-0123,Plant-A,2.1
63.69,1.1461,56.7,220.63,9.584,2194.6,-0.3628,0.9697,47.6,1533.0,125.09,0.7887,SEN-0124,Plant-A,2.1
78.63,1.196,50.17,222.06,11.162,2243.1,0.3599,0.4566,41.9,1519.0,105.74,0.7635,SEN-0125,Plant-C,2.1
53.71,1.2906,46.26,216.26,10.692,2228.4,0.3792,0.5636,45.5,1485.0,133.53,0.8706,SEN-0126,Plant-C,2.1
83.47,1.3957,47.55,220.67,7.184,2307.6,-0.1092,-0.6641,44.5,1500.0,120.87,0.8095,SEN-0127,Plant-C,2.1
57.54,1.1841,46.62,228.39,10.04,2079.9,0.0259,-0.5505,67.8,1472.0,123.87,0.8744,SEN-0128,Plant-A,2.1
82.57,1.1952,50.8,221.65,8.545,2049.2,-0.1525,0.5399,30.5,1533.0,111.23,0.829,SEN-0129,Plant-C,2.1
66.55,1.2198,46.41,216.74,11.067,2223.9,-0.5539,-0.0972,67.9,1544.0,120.92,0.8812,SEN-0130,Plant-B,2.1
82.79,1.3343,55.71,219.67,12.489,2245.5,0.6508,-0.129,31.3,1498.0,123.19,0.8331,SEN-0131,Plant-C,2.1
76.31,1.197,46.09,215.31,9.481,2412.0,0.1863,0.1669,33.1,1592.0,116.93,0.7747,SEN-0132,Plant-B,2.1
59.63,1.3469,38.64,221.39,10.075,2261.7,1.2382,-0.6276,38.2,1421.0,121.0,0.8457,SEN-0133,Plant-A,2.1
87.49,1.1033,46.35,224.41,9.749,2112.6,-0.3781,0.3864,41.5,1486.0,99.0,0.8336,SEN-0134,Plant-B,2.1
89.42,1.1814,39.96,215.81,10.351,2280.6,-0.0688,0.0092,64.3,1583.0,133.81,0.8829,SEN-0135,Plant-C,2.1
74.34,1.1802,49.8,218.93,10.645,2115.4,0.4415,0.2396,63.6,1476.0,109.05,0.8275,SEN-0136,Plant-C,2.1
72.26,1.2787,55.3,225.69,11.287,2051.4,-0.1225,-0.3353,67.4,1417.0,98.37,0.8303,SEN-0137,Plant-B,2.1
73.4,1.3045,53.24,217.46,9.013,2460.9,-0.6938,0.2566,45.6,1567.0,110.59,0.893,SEN-0138,Plant-B,2.1
65.25,1.0491,43.31,220.96,11.572,2232.6,-0.4744,-0.3524,30.6,1525.0,111.84,0.9083,SEN-0139,Plant-C,2.1
85.99,1.1085,46.19,214.77,9.068,2271.5,0.0504,0.4772,55.0,1438.0,125.63,0.888,SEN-0140,Plant-C,2.1
69.57,1.2337,58.89,215.82,10.277,2256.4,0.1717,0.5648,66.0,1536.0,111.05,0.9019,SEN-0141,Plant-B,2.1
74.49,1.1341,51.59,217.38,11.159,2381.2,-0.0473,0.4559,34.3,1446.0,123.03,0.8727,SEN-0142,Plant-A,2.1
67.07,1.0478,50.02,230.88,10.713,2228.4,0.5017,0.2582,63.1,1430.0,110.59,0.8885,SEN-0143,Plant-A,2.1
68.74,1.3038,55.28,217.95,9.061,2321.8,0.4964,0.3169,30.1,1490.0,142.26,0.8939,SEN-0144,Plant-C,2.1
62.22,1.2494,62.26,217.35,9.298,2097.3,0.1614,-1.353,59.3,1474.0,125.64,0.8702,SEN-0145,Plant-C,2.1
87.57,1.2493,56.48,217.18,9.538,2060.8,0.0134,0.4174,49.7,1443.0,139.75,0.8531,SEN-0146,Plant-A,2.1
73.46,1.1525,50.7,219.17,9.949,2342.7,-0.1264,-0.137,66.3,1479.0,110.04,0.8571,SEN-0147,Plant-B,2.1
84.66,1.3029,51.77,223.28,11.147,2347.5,0.2755,0.0475,65.0,1447.0,126.82,0.9702,SEN-0148,Plant-B,2.1
75.13,1.176,53.09,220.95,8.708,2251.1,0.4598,-0.1419,31.9,1501.0,110.62,0.8507,SEN-0149,Plant-A,2.1
68.06,1.3096,46.94,230.29,10.467,2222.6,0.0303,-0.6956,49.9,1496.0,125.96,0.8382,SEN-0150,Plant-B,2.1
71.73,1.1088,44.71,221.07,10.61,2216.6,0.225,-0.2693,39.7,1535.0,126.96,0.8318,SEN-0151,Plant-B,2.1
69.4,1.1146,50.26,227.24,10.558,2131.2,-0.1622,0.3293,47.6,1475.0,104.23,0.8483,SEN-0152,Plant-C,2.1
75.08,1.2205,45.26,221.38,10.466,2353.9,-0.7058,0.7087,32.7,1431.0,108.81,0.8622,SEN-0153,Plant-A,2.1
71.25,1.1298,49.69,223.03,11.518,2265.9,-0.5005,-0.3115,44.4,1431.0,108.51,0.7934,SEN-0154,Plant-C,2.1
72.0,1.2675,50.48,212.78,10.488,2250.6,0.3829,-0.452,46.3,1485.0,105.13,0.751,SEN-0155,Plant-B,2.1
61.21,1.226,61.71,219.36,10.857,2237.6,0.2235,0.7259,30.2,1575.0,112.85,0.8648,SEN-0156,Plant-C,2.1
66.93,1.1077,45.74,219.66,10.564,2304.8,0.7951,-0.4413,49.0,1540.0,110.56,0.7697,SEN-0157,Plant-C,2.1
91.54,1.2073,49.39,218.79,11.793,2250.5,0.028,1.0368,65.8,1465.0,105.71,0.8629,SEN-0158,Plant-B,2.1
68.29,1.1649,49.18,209.24,8.1,2274.5,0.4324,0.0253,32.4,1545.0,121.13,0.857,SEN-0159,Plant-B,2.1
64.46,1.2916,52.19,224.4,11.282,2083.1,0.6615,-0.4417,67.8,1439.0,125.61,0.9076,SEN-0160,Plant-C,2.1
78.37,1.1367,55.23,218.06,9.739,2251.0,0.4972,0.4922,49.6,1548.0,107.0,0.9335,SEN-0161,Plant-B,2.1
89.07,1.1561,47.55,217.81,9.719,2418.7,-0.3043,0.8467,38.4,1478.0,114.58,0.8684,SEN-0162,Plant-B,2.1
60.46,1.3211,45.89,218.72,9.031,2148.1,-0.0923,-0.7174,68.8,1536.0,120.22,0.8223,SEN-0163,Plant-C,2.1
72.91,1.4239,41.8,218.86,8.131,2187.1,0.0649,0.7795,48.9,1529.0,117.82,0.7913,SEN-0164,Plant-A,2.1
68.68,1.3999,45.37,222.04,9.618,2289.2,-0.4929,-0.1407,47.5,1484.0,113.13,0.8104,SEN-0165,Plant-A,2.1
57.39,1.2063,52.68,213.64,9.313,2295.7,0.2371,0.7432,45.1,1514.0,128.24,0.852,SEN-0166,Plant-A,2.1
82.35,1.2219,50.23,215.34,10.494,2262.4,0.512,-0.1902,65.3,1444.0,128.6,0.7465,SEN-0167,Plant-A,2.1
74.77,1.3533,44.92,221.45,8.528,2038.2,-0.2404,-0.7886,35.2,1494.0,126.93,0.8538,SEN-0168,Plant-A,2.1
75.71,1.1876,48.14,220.73,11.432,2250.2,0.9863,0.251,38.4,1552.0,118.04,0.8494,SEN-0169,Plant-C,2.1
67.48,1.1024,50.16,218.12,10.272,2081.6,-0.1454,0.4633,41.3,1703.0,139.99,0.8822,SEN-0170,Plant-A,2.1
79.55,1.2117,52.52,217.13,9.752,2117.5,-0.1015,1.048,32.5,1533.0,137.53,0.8333,SEN-0171,Plant-A,2.1
69.61,1.2452,47.03,215.83,9.291,2254.8,-0.1191,0.8618,63.8,1502.0,116.1,0.8551,SEN-0172,Plant-A,2.1
73.57,1.1171,48.75,219.71,9.213,2170.4,-0.3541,0.3476,49.5,1447.0,118.92,0.8132,SEN-0173,Plant-B,2.1
63.92,1.0354,40.91,225.9,8.87,2281.0,0.2089,-0.1189,54.1,1551.0,132.0,0.8268,SEN-0174,Plant-A,2.1
62.84,1.0563,44.24,214.71,9.456,2514.8,0.01,-0.2603,65.4,1415.0,112.12,0.7613,SEN-0175,Plant-C,2.1
88.36,1.2665,58.09,227.62,10.006,2277.7,0.8307,-0.1474,49.8,1457.0,124.1,0.8562,SEN-0176,Plant-B,2.1
69.93,1.1242,39.06,224.22,9.823,2272.3,0.3037,-0.4155,41.1,1516.0,120.57,0.9274,SEN-0177,Plant-B,2.1
77.92,1.1859,48.31,217.74,8.586,2110.4,0.2688,-0.1373,51.2,1437.0,113.08,0.8581,SEN-0178,Plant-A,2.1
74.66,1.2213,51.1,223.92,9.734,2135.7,-0.1108,-1.2723,50.0,1575.0,117.79,0.8683,SEN-0179,Plant-A,2.1
70.59,1.2619,48.13,212.67,9.107,2093.6,-0.7071,0.0894,42.0,1552.0,104.39,0.8009,SEN-0180,Plant-C,2.1
69.92,1.1665,45.96,211.34,10.16,2146.7,-0.0448,-0.0145,39.3,1469.0,114.67,0.9216,SEN-0181,Plant-A,2.1
81.3,1.2499,49.69,213.55,11.865,2090.8,-0.4251,1.2829,44.3,1470.0,100.15,0.8116,SEN-0182,Plant-B,2.1
71.98,1.111,49.98,217.95,10.625,2134.0,0.4759,0.3794,59.4,1432.0,142.9,0.8901,SEN-0183,Plant-B,2.1
73.49,1.1638,49.59,218.37,9.687,2179.1,-0.0152,-0.2401,36.6,1427.0,135.15,0.8554,SEN-0184,Plant-B,2.1
75.22,1.0976,40.61,217.42,8.375,2099.9,0.8329,0.2824,69.8,1520.0,132.38,0.802,SEN-0185,Plant-C,2.1
86.77,1.3132,49.26,220.5,8.585,2058.1,0.3677,-0.6129,39.4,1529.0,123.11,0.9014,SEN-0186,Plant-A,2.1
81.81,1.1973,45.72,209.32,8.313,2063.9,0.4178,-0.3013,40.9,1515.0,130.07,0.8508,SEN-0187,Plant-B,2.1
78.83,1.1261,47.26,222.48,10.726,2245.4,0.1153,-0.9338,34.9,1511.0,132.81,0.8589,SEN-0188,Plant-B,2.1
69.36,1.1648,51.13,212.9,9.235,2206.0,0.1043,0.7181,45.7,1470.0,130.24,0.8726,SEN-0189,Plant-C,2.1
61.18,1.1778,53.2,216.7,10.063,2302.6,0.3266,0.2967,44.9,1516.0,129.26,0.8489,SEN-0190,Plant-C,2.1
84.5,1.2701,54.48,217.94,9.378,2304.4,0.4613,-0.5878,57.3,1424.0,110.95,0.8311,SEN-0191,Plant-B,2.1
84.66,1.0404,47.52,214.22,10.091,2165.9,-0.3553,-0.0302,65.8,1498.0,124.36,0.8733,SEN-0192,Plant-C,2.1
